date,daily_score,daily_pos_count,daily_neg_count,sentiment_5dma,sentiment_vol,sentiment_momentum,sentiment_available
2008-04-21,0.18661363049581708,0,0,0.1416075044897859,0.07463974576851547,0.04500612600603118,0
2008-04-22,-0.18183984821751464,0,0,0.10121063867617579,0.1612372139252538,-0.28305048689369045,0
2008-04-23,0.030315767361048587,0,0,0.08339054034173532,0.16362809604440576,-0.05307477298068673,0
2008-04-24,0.13342483785717146,0,0,0.07360599008190052,0.15758240824985745,0.05981884777527094,0
2008-04-25,0.16116886099202582,0,0,0.06593664969770965,0.15070567630415782,0.09523221129431617,0
2008-04-28,0.14174289963962838,0,0,0.05696250352647192,0.14285462962341347,0.08478039611315646,0
2008-04-29,0.17828873364671044,0,0,0.12898821989931694,0.05784624586132054,0.0493005137473935,0
2008-04-30,0.16653391987286542,0,0,0.1562318504016803,0.018351446283833835,0.010302069471185116,0
2008-05-02,0.21504420622514997,0,0,0.172555724075276,0.027173017133625518,0.04248848214987397,0
2008-05-05,0.17573566833274917,0,0,0.17546908554342067,0.02641734496481821,0.00026658278932850665,0
2008-05-06,0.1648366446368481,0,0,0.18008783454286462,0.020374208158699704,-0.01525118990601651,0
2008-05-07,0.14274965031017398,0,0,0.17298001787555733,0.02645151877140352,-0.03023036756538336,0
2008-05-08,0.10491535664526834,0,0,0.1606563052300379,0.04071427220073654,-0.055740948584769565,0
2008-05-09,0.043665522409882036,0,0,0.12638056846698434,0.05358469156464076,-0.08271504605710231,0
2008-05-12,-0.10720562390158175,0,0,0.06979231002011814,0.10908792908996538,-0.17699793392169988,0
2008-05-13,-0.16906507366876047,0,0,0.0030119663589964264,0.1353902302559355,-0.1720770400277569,0
2008-05-14,-0.03014276223844132,0,0,-0.03156651615072663,0.11058516655046392,0.0014237539122853096,0
2008-05-15,-0.02527868528748469,0,0,-0.05760532453727725,0.0820646905618983,0.03232663924979256,0
2008-05-16,0.17171356983292269,0,0,-0.03199571505266911,0.12844314319192537,0.2037092848855918,0
2008-05-20,0.10636700457158682,0,0,0.010718810641964605,0.13262317142778715,0.09564819392962222,0
2008-05-21,0.005088804814336672,0,0,0.04554958633858404,0.08944154463654283,-0.04046078152424737,0
2008-05-22,-0.2555601819811676,0,0,0.0004661023900387806,0.16338169875146483,-0.2560262843712064,0
2008-05-23,-0.22201270667819378,0,0,-0.03888070188810304,0.19226771004578744,-0.18313200479009073,0
2008-05-26,-0.17634475921253587,0,0,-0.10849236769719475,0.1566724201924244,-0.06785239151534112,0
2008-05-27,-0.0166779362635587,0,0,-0.13310135586422384,0.11981477107448864,0.11642341960066513,0
2008-05-28,-0.15009785031626857,0,0,-0.1641386868903449,0.0919212954103882,0.014040836574076315,0
2008-05-29,0.013612013736313815,0,0,-0.11030424774684863,0.10313193712285262,0.12391626148316245,0
2008-05-30,0.06364608225797196,0,0,-0.053172489959615474,0.10488628913199602,0.11681857221758743,0
2008-06-02,-0.025471608821263394,0,0,-0.022997859881360983,0.07913267971049058,-0.0024737489399024107,0
2008-06-03,0.015158069511185902,0,0,-0.01663065872641206,0.08102646366031996,0.03178872823759796,0
2008-06-04,-0.022142994386070335,0,0,0.008960312459627588,0.03606784175517822,-0.031103306845697922,0
2008-06-05,-0.029996253239514596,0,0,0.00023865906446190536,0.03974668644076933,-0.030234912303976503,0
2008-06-06,0.0,0,0,-0.012490557387132487,0.019291106868411016,0.012490557387132487,0
2008-06-09,-0.08966283050639862,0,0,-0.025328801724159532,0.040160729172310984,-0.06433402878223908,0
2008-06-10,-0.01115513933867152,0,0,-0.030591443494131017,0.034909760961663566,0.019436304155459497,0
2008-06-11,0.005485949647935006,0,0,-0.025065654687329946,0.038575562003394126,0.03055160433526495,0
2008-06-12,0.012283113211275306,0,0,-0.01660978139717197,0.041729505842616504,0.028892894608447274,0
2008-06-13,-0.03480242156867326,0,0,-0.023570265710906618,0.04116507087451391,-0.011232155857766643,0
2008-06-16,0.021825211683071135,0,0,-0.0012726572730126693,0.02227587134517775,0.023097868956083803,0
2008-06-17,0.033151964661433,0,0,0.007588763527008234,0.025882547340456433,0.025563201134424764,0
2008-06-18,-0.05035566941353224,0,0,-0.003579560285285216,0.03677330290453063,-0.04677610912824703,0
2008-06-19,-0.059064467162273614,0,0,-0.017849076359995,0.042479283956097465,-0.04121539080227861,0
2008-06-20,0.06606146640798158,0,0,0.002323701235335968,0.054627870075606565,0.06373776517264561,0
2008-06-23,-0.036003825567927,0,0,-0.00924210621486366,0.05558027448480635,-0.02676171935306334,0
2008-06-24,-0.13158635673309385,0,0,-0.04218977049376903,0.07088685197103091,-0.08939658623932482,0
2008-06-25,-0.1960372385607393,0,0,-0.07132608432321044,0.09931958610599241,-0.12471115423752885,0
2008-06-26,-0.07722573209155757,0,0,-0.07495833730906723,0.0990908838096187,-0.0022673947824903423,0
2008-06-27,-0.048825801732236086,0,0,-0.09793579093711076,0.06601613536821954,0.04910998920487467,0
2008-06-30,-0.0014555818757123638,0,0,-0.09102614219866784,0.07527726531533006,0.08957056032295548,0
2008-07-01,-0.013172542209533632,0,0,-0.06734337929395579,0.07790756129478672,0.05417083708442215,0
2008-07-02,-0.12833273491455863,0,0,-0.05380247856471967,0.051281489230633547,-0.07453025634983895,0
2008-07-03,-0.14464292475603818,0,0,-0.06728591709761578,0.06579036182441489,-0.0773570076584224,0
2008-07-04,-0.11658914391457098,0,0,-0.08083858553408277,0.06798004310543404,-0.03575055838048821,0
2008-07-07,-0.15848831789172593,0,0,-0.1122451327372855,0.05762184627318113,-0.04624318515444044,0
2008-07-08,-0.10964010996050791,0,0,-0.13153864628748033,0.020070614688834695,0.021898536326972418,0
2008-07-09,-0.04767584126309957,0,0,-0.11540726755718853,0.04281618734800068,0.06773142629408896,0
2008-07-10,0.020923735087462984,0,0,-0.08229393558848828,0.06996759688594598,0.10321767067595126,0
2008-07-11,-0.0011220893999412047,0,0,-0.05920052468556233,0.07471284631816634,0.05807843528562112,0
2008-07-14,0.047964330969488746,0,0,-0.017909994913319398,0.06210824982098465,0.06587432588280814,0
2008-07-15,-0.45790617078298546,0,0,-0.08756320707781491,0.2099726825878202,-0.37034296370517056,0
2008-07-16,0.08803000995132952,0,0,-0.06042203683492908,0.22467357990913323,0.14845204678625862,0
2008-07-17,-0.031734457621986505,0,0,-0.07095367537681899,0.22111316987931012,0.03921921775483248,0
2008-07-18,-0.04599492888301749,0,0,-0.07992824327343424,0.21846504861084048,0.033933314390416754,0
2008-07-21,-0.1524883241756134,0,0,-0.1200187743024547,0.2072318214351096,-0.0324695498731587,0
2008-07-22,-0.009971861391864498,0,0,-0.03043191242423049,0.08601382519117501,0.020460051032365992,0
2008-07-23,-0.07104880872164554,0,0,-0.0622476761588255,0.05511080565078863,-0.008801132562820037,0
2008-07-24,-0.13058243792810925,0,0,-0.08201727222005005,0.059019492789213174,-0.0485651657080592,0
