epoch,train_loss,val_loss
1,3.839242909031992,0.24433649331331253
2,0.05862019558508809,0.00037135177990421653
3,0.006345181940839841,0.0008718172030057758
4,0.003114711923094896,0.00018782197003019974
5,0.0022914247014201605,0.0004663686268031597
6,0.001754960546699854,0.0004973303293809295
7,0.0014911477248041104,0.002427247818559408
8,0.0016161388216110377,0.00041182564746122807
9,0.001007557873470852,0.00011092166823800653
10,0.0009481333299145962,0.0003716766805155203
11,0.0009255589057619756,0.0008928528695832938
12,0.0008482378191099717,0.0010273251100443304
13,0.000878188674015781,0.0006530457176268101
14,0.0006465451062047997,0.00017224924522452056
15,0.0005590401392859909,0.00018428007751936093
16,0.00048628219295866217,0.00015967230137903243
17,0.00043302249888746213,0.0004953889292664826
18,0.0006252946108221435,0.0001216821874550078
19,0.00038134035555860744,0.0001865722588263452
20,0.00036247773319841,9.787801172933541e-05
21,0.00035963999331355666,0.0010367491631768644
22,0.0005388139196349165,0.00011619430733844638
23,0.00035565224243327975,0.00011139094203826971
24,0.00028821180771606474,0.00022003940830472857
25,0.00029034357038863865,0.00010272225699736737
26,0.00027773179709374043,0.000109302705823211
27,0.0002821528245336734,0.00011337552132317796
28,0.0003325160348769994,0.00012959827290615067
29,0.0002666996118093196,0.0002121515353792347
30,0.00031529237234141107,0.0001546020430396311
31,0.0003378446663891037,0.00010566132186795585
32,0.000255420180530144,0.0002102708676829934
33,0.00030746114610407787,0.00040482840267941356
34,0.000332280450003544,0.0003556685260264203
35,0.00033747074821104226,0.0003246415581088513
